ID	Leftover	Build	Cover Dependence	Cover Data	Previous Setup	Setup	Next Setup	Pieces	Solve %	Solve Fraction	Mirror
1001BEEAFF	TILJSZO	LSZO	*p5{LSZO=1}	00716D00716D0000001FF0071EAFC700716D1C7007FC751DFFFFFF1450071C551DFD477FB6DABF1EDFFFFD477F		v115@GhglFeQ4ilDeBtR4RpEeBtQ4RpJeAgH		[^LSZO]!,*p4	97.82%	4930/5040	1001BFAAFF
1001BFAAFC	TILJSZO	JSZO	[JSZO]!{J<S||JS<Z},[TIL]!,*p3{IJS=1||I[LJ]O=1}	1	1001FFAEFC	v115@9gQ4BtGeR4BtFeg0Q4FeRpi0EeRpJeAgH		[TIL]!,*p4{3:(IJS=1||I[LJ]O=1)}	100.00%	432/432	1001BEEAFC
1001BFAAFD	TILJSZO	JSZO	[JSZO]!{J<S||JS<Z},[TIL]!,*p3{!I[LJ][SO]=1||(ILS=1&&/^L/)}	1	1001FFAEFC	v115@9gQ4IeR4Heg0Q4BtDeRpi0BtCeRpJeAgH		[TIL]!,*p4{3:(!I[LJ][SO]=1||(ILS=1&&/^L/))}	100.00%	4560/4560	1001BEEAFD
1001BFAAFE	TILJSZO	JSZO	*p5{JSZO=1}	FC0CB2FC0CB2FC0CB2FFFFFFFFFFFFFFFFFF00003FFFF03F1C0FC7CB2CBFFFF03F1EAFC7CB2CBFFFF03F1EAFC7		v115@9gQ4IeR4Heg0Q4BtDeRpi0BtCeRpJeAgH		[^JSZO]!,*p4	99.21%	5000/5040	1001BEEAFE
1001BFAAFF	TILJSZO	JSZO	*p5{JSZO=1}	0051D70051D70051D70000001C7007FD51FF1451401C7547FD51FF1C71C01FF547FFFFFF5D75D51FF547FFFFFF		v115@9gg0Iei0AtFeRpBtR4DeRpAtR4OeAgH		[^JSZO]!,*p4	97.82%	4930/5040	1001BEEAFF
1001EAFFFE	TILJSZO	TIL	[TILJ]!{3:IL=1},Z,[SO]!,*p2{T[ISO]=1}	1	10023AFFFF	v115@9gwhIewhIewhDeywAeglwhEewwilJeAgH		JZ,[SO]!,*p3{2:T[ISO]=1}	100.00%	60/60	1001EBBFFE
1001EAFFFF	TILJSZO	TIL	[TILJ]!{3:IL=1},Z,[SO]!,*p2{T[LJZ]=1}	1	10023AFFFF	v115@9gwhIewhwwHewhxwFeglwhwwEeilJeAgH		JZ,[SO]!,*p3{2:T[LJZ]=1}	96.67%	58/60	1001EBBFFF
1001EBBFFE	TILJSZO	TIJ	[TILJ]!{3:IJ=1},S,[ZO]!,*p2{T[IZO]=1}	1	10023BBFFF	v115@GhwhIewhg0AeywDewhi0wwEewhJeAgH		LS,[ZO]!,*p3{2:T[IZO]=1}	100.00%	60/60	1001EAFFFE
1001EBBFFF	TILJSZO	TIJ	[TILJ]!{3:IJ=1},S,[ZO]!,*p2{T[LJS]=1}	1	10023BBFFF	v115@GhwhHewwwhg0Fexwwhi0EewwwhJeAgH		LS,[ZO]!,*p3{2:T[LJS]=1}	96.67%	58/60	1001EAFFFF
1001FABFFB	TILJSZO	ILJ	[TILJ]!{3:IJ=1},S,[ZO]!,*p2{L[IJ]=1}	1	10023BBFFF	v115@9gilFewhglHewhg0Hewhi0FewhJeAgH		TS,[ZO]!,*p3{2:L[IJ]=1}	100.00%	40/40	1001FABFFC
1001FABFFC	TILJSZO	ILJ	[TILJ]!{3:IL=1},Z,[SO]!,*p2{J[IL]=1}	1	10023AFFFF	v115@9gwhFei0whHeg0whHeglwhFeilJeAgH		TZ,[SO]!,*p3{2:J[IL]=1}	100.00%	40/40	1001FABFFB
1001FABFFD	TILJSZO	ILJ	[TILJ]!{3:IJ=1},S,[ZO]!,[LS]!	1	10023BBFFF	v115@GhwhIewhg0BeilCewhi0glEewhJeAgH		TS,[ZO]!,[LS]!,[^LS]	90.00%	18/20	1001FABFFE
1001FABFFE	TILJSZO	ILJ	[TILJ]!{3:IL=1},Z,[SO]!,[JZ]!	1	10023AFFFF	v115@9gwhIewhIewhCei0BeglwhEeg0ilJeAgH		TZ,[SO]!,[JZ]!,[^JZ]	90.00%	18/20	1001FABFFD
1001FABFFF	TILJSZO	ILJ	*p4{ILJ=1}	1		v115@9gwhIewhIewhilCei0whglGeg0JeAgH		[^ILJ]!,*p3	82.38%	4152/5040	NULL
1001FAEFFD	TILJSZO	ILS	*p4{ILS=1}	34FF1E03FFFFFCD5E3FD534D		v115@DhzhGeQ4hlGeR4glHeQ4glJeAgH		[^ILS]!,*p3	93.65%	4720/5040	1001FBBBFD
1001FAEFFE	TILJSZO	ILS	*p4{ILS=1}	F3FFFFFFFFFFFFC3FFFC0F3C		v115@/gQ4IeR4FeilQ4FeglzhOeAgH		[^ILS]!,*p3	91.83%	4628/5040	1001FBBBFE
1001FAEFFF	TILJSZO	ILS	*p4{ILS=1}	CBFFFFFCFF1E032BFDE2ACB2		v115@9gglIeglIehlCeR4CezhR4NeAgH		[^ILS]!,*p3	80.91%	4078/5040	1001FBBBFF
1001FAFBFE	TILJSZO	ILZ	*p4{ILZ=1}	B2FFA78BFFFFFECB078FF02C		v115@FhAtwhGeBtwhGeAtglwhFeilwhJeAgH		[^ILZ]!,*p3	97.94%	4936/5040	1001FBAFFE
1001FAFBFF	TILJSZO	ILZ	*p4{ILZ=1}	4D1E5FF41E0FF134FFFFFFD3		v115@9gwhilFewhglAtGewhBtGewhAtReAgH		[^ILZ]!,*p3	95.48%	4812/5040	1001FBAFFF
1001FAFEFB	TILJSZO	ILO	[TILJO]!	41200041710C49716D00414000CB40		v115@9gRpHeRpHeilGeglzhOeAgH		[TJ]!,[SZ]!,*p3	96.90%	814/840	1001FBBEFB
1001FAFEFC	TILJSZO	ILO	*p4{ILO=1}	B2FFA9E3FFFFFECB2C1E3FC0		v115@9gRpHeRpHeilGeglzhOeAgH		[^ILO]!,*p3	97.66%	4922/5040	1001FBBEFC
1001FAFEFD	TILJSZO	ILO	*p4{ILO=1}	34FF01E3FFFFFCD34D5E3FD5		v115@DhzhHehlGeRpglGeRpglJeAgH		[^ILO]!,*p3	94.13%	4744/5040	1001FBBEFD
1001FAFEFE	TILJSZO	ILO	*p4{ILO=1}	C3FFFFFCFF00030C303FC000		v115@FhhlGeRpglGeRpglFezhJeAgH		[^ILO]!,*p3	94.09%	4742/5040	1001FBBEFE
1001FAFEFF	TILJSZO	ILO	*p4{ILO=1}	4D0F57FC0F03FD34D3FFFFFF		v115@9gilGeglIeRpHeRpzhNeAgH		[^ILO]!,*p3	90.32%	4552/5040	1001FBBEFF
1001FBAFFE	TILJSZO	IJS	*p4{IJS=1}	B2BFCF2ACFFFFFF0F0FF0B2C		v115@9gwhQ4HewhR4Gewhg0Q4Gewhi0PeAgH		[^IJS]!,*p3	97.94%	4936/5040	1001FAFBFE
1001FBAFFF	TILJSZO	IJS	*p4{IJS=1}	4D4F3FD530F0FF0FFFFFF4D3		v115@Dhi0whGeQ4g0whGeR4whHeQ4whJeAgH		[^IJS]!,*p3	95.48%	4812/5040	1001FAFBFF
1001FBBBFD	TILJSZO	IJZ	*p4{IJZ=1}	343FC3C0DFFFFFF353C7FD4D		v115@9gzhFeh0AtGeg0BtGeg0AtReAgH		[^IJZ]!,*p3	93.65%	4720/5040	1001FAEFFD
1001FBBBFE	TILJSZO	IJZ	*p4{IJZ=1}	F3FFFFFFCFFFFFFF0FF3FC3C		v115@EhAtHeBtHeAti0Eezhg0JeAgH		[^IJZ]!,*p3	91.83%	4628/5040	1001FAEFFE
1001FBBBFF	TILJSZO	IJZ	*p4{IJZ=1}	CBFFFFFF23FC1E0CAFF9E2B2		v115@Ghg0Ieg0CeBtCeh0DeBtzhJeAgH		[^IJZ]!,*p3	80.91%	4078/5040	1001FAEFFF
1001FBBEFB	TILJSZO	IJO	[TILJO]!	1004801045C300414049716D00302D		v115@FhRpHeRpGei0Eezhg0JeAgH		[TL]!,[SZ]!,*p3	96.90%	814/840	1001FAFEFB
1001FBBEFC	TILJSZO	IJO	*p4{IJO=1}	B2BFE8F2CFFFFFFB2C0F0FF0		v115@FhRpHeRpGei0Eezhg0JeAgH		[^IJO]!,*p3	97.66%	4922/5040	1001FAFEFC
1001FBBEFD	TILJSZO	IJO	*p4{IJO=1}	343FC0F0DFFFFFF34D4F1FF5		v115@9gzhFeh0Heg0RpGeg0RpQeAgH		[^IJO]!,*p3	94.13%	4744/5040	1001FAFEFD
1001FBBEFE	TILJSZO	IJO	*p4{IJO=1}	C3FFFFFF03FC000C303FC000		v115@9gh0Heg0RpGeg0RpGezhPeAgH		[^IJO]!,*p3	94.09%	4742/5040	1001FAFEFE
1001FBBEFF	TILJSZO	IJO	*p4{IJO=1}	4D43D7FD303C0FF4D3FFFFFF		v115@Ehi0Ieg0HeRpDezhRpJeAgH		[^IJO]!,*p3	90.32%	4552/5040	1001FAFEFF
1001FBEBFF	TILJSZO	ISZ	*p4{ISZ=1}	1		v115@ChBtIeBtGeR4GeR4zhJeAgHAhR4BPEeR4BeBPEeBtx?DCezhxSTaJeAgH		[^ISZ]!,*p3	98.25%	4952/5040	NULL
