ID	Leftover	Build	Cover Dependence	Cover Data	Previous Setup	Setup	Next Setup	Pieces	Solve %	Solve Fraction	Mirror
6709BAEEFF	ILLJSO	ILSO	L,[ILJSO]p4{ISO=1}	53F5D735FFFF		v115@9gzhFeglRpGeglRpR4EehlR4PeAgH		[LJ]!,*p5	98.25%	4952/5040	6911BBBAFF
6709BDAFFE	ILLJSO	LLJS	L,[ILJSO]p4{LJS=1}	B2F6BFFC6F2C		v115@9ghlQ4GehlR4Fehlg0Q4Fehli0OeAgH		[IO]!,*p5	96.03%	4840/5040	6911BE7BFE
6709BDAFFF	ILLJSO	LLJS	L,[ILJSO]p4{LJS=1}	1C6F16F7FFC7		v115@EhilGeglR4g0FeR4gli0DeilJeAgH		[IO]!,*p5	95.67%	4822/5040	6911BE7BFF
6709BDEEFF	ILLJSO	LLSO	L,[ILJSO]p4{LSO=1}	1		v115@EhglRpGeglRpAeR4DeilR4EeilJeAgH		[IJ]!,*p5	92.70%	4672/5040	6911BF7AFF
6711BABBFD	ILLJZO	ILJZ	L,[ILJZO]p4{IJZ=1}	5BD4D8F3FFD3		v115@9gzhFegli0FeglBtg0FehlBtPeAgH		[LO]!,*p5	97.70%	4924/5040	6909BAAFFD
6711BABBFE	ILLJZO	ILJZ	L,[ILJZO]p4{IJZ=1}	BDA000000000		v115@9gBthlFeg0BtglFei0glFezhPeAgH		[LO]!,*p5	97.70%	4924/5040	6909BAAFFE
6711BABBFF	ILLJZO	ILJZ	L,[ILJZO]p4{IJZ=1}	1		v115@FhAtwhGeBtwhg0FeAtglwhi0CeilwhJeAgH		[LO]!,*p5	93.41%	4708/5040	6909BAAFFF
6711BABEFF	ILLJZO	ILJO	L,[ILJZO]p4{IJO=1}	1		v115@Dhi0whFeRpg0whFeRpglwhFeilwhJeAgH		[LZ]!,*p5	94.92%	4784/5040	6909BABEFF
6711BAFAFF	ILLJZO	ILZO	L,[ILJZO]p4{IZO=1}	1		v115@9gwhGeRpwhEeBtRpwhFeBtglwhFeilJeAgH		[LJ]!,*p5	98.17%	4948/5040	6909BBAEFF
6711BDBBFF	ILLJZO	LLJZ	L,[ILJZO]p4{LJZ=1}	1C6F16F7FFC7		v115@9gilGeglAtg0GeBtg0FeglAth0DeilJeAgH		[IO]!,*p5	95.67%	4822/5040	6909BE6FFF
6711BDBEFE	ILLJZO	LLJO	L,[ILJZO]p4{LJO=1}	30F03FFCC03C		v115@9gilGeglRpGeg0RpFegli0DeilJeAgH		[IZ]!,*p5	96.07%	4842/5040	6909BE7EFE
6711BDBEFF	ILLJZO	LLJO	L,[ILJZO]p4{LJO=1}	5D37D37D7FFF		v115@Ehi0GeRpg0FeglRpglDellJeAgH		[IZ]!,*p5	96.07%	4842/5040	6909BE7EFF
6721BAEBFE	ILLSZO	ILSZ	L,[ILSZO]p4{ISZ=1}	BDAB3FFD8F2C		v115@9gzhFeglQ4BtFeglR4BtEehlQ4QeAgH		[LO]!,*p5	91.19%	4596/5040	6941BBABFE
6721BAEBFF	ILLSZO	ILSZ	L,[ILSZO]p4{ISZ=1}	1		v115@9gwhHeAtwhGeBtwhEeR4AtglwhDeR4ilJeAgH		[LO]!,*p5	86.07%	4338/5040	6941BBABFF
6721BAEEFF	ILLSZO	ILSO	L,[ILSZO]p4{ISO=1}	1		v115@9gRpQ4GeRpR4FeilQ4FeglzhOeAgH		[LZ]!,*p5	89.76%	4524/5040	6941BBBAFF
6721BAFAFE	ILLSZO	ILZO	L,[ILSZO]p4{IZO=1}	00F000000FFF		v115@9gilGeglBtGeRpBtFeRpzhNeAgH		[LS]!,*p5	94.25%	4750/5040	6941BBAEFE
6721BAFAFF	ILLSZO	ILZO	L,[ILSZO]p4{IZO=1}	1		v115@9gwhHeAtwhGeBtwhRpEeAtglwhRpDeilJeAgH		[LS]!,*p5	88.21%	4446/5040	6941BBAEFF
6721BEEAFE	ILLSZO	LSZO	L,[ILSZO]p4{SZO=1}	00000000053F		v115@9gilQ4FeglBtR4EeRpBtQ4EeRpReAgH		[IL]!,*p5	93.77%	4726/5040	6941BFAAFE
6721BEEAFF	ILLSZO	LSZO	L,[ILSZO]p4{SZO=1}	1		v115@GhAtHeBtRpDeR4AtglRpCeR4ilJeAgH		[IL]!,*p5	90.67%	4570/5040	6941BFAAFF
6781BDAFFF	LLJSZO	LLJS	L,[LJSZO]p4{LJS=1}	CF5CF0FFF4D3		v115@9gi0GeglQ4g0GeglR4FeilQ4DeilJeAgH		[ZO]!,*p5	86.55%	4362/5040	6981BE7BFF
6781BDBEFE	LLJSZO	LLJO	L,[LJSZO]p4{LJO=1}	F00FFF30C0F0		v115@9gilGeglRpGeg0RpFegli0DeilJeAgH		[SZ]!,*p5	86.90%	4380/5040	6981BE7EFE
6781BDBEFF	LLJSZO	LLJO	L,[LJSZO]p4{LJO=1}	35F30F4D3FFF		v115@9gi0GeRpg0GeRpglFejlDeilJeAgH		[SZ]!,*p5	86.90%	4380/5040	6981BE7EFF
