ID	Leftover	Build	Cover Dependece	Cover Data	Previous Setup	Setup	Next Setup	Pieces	Solve %	Solve Fraction	Mirror
7CF5EFF7FF	TZZ	TZZ	Z,[TZ]!	1		v115@DhBtIeBtGewwBtFeywBtJeAgH		*p7	100.00%	5040/5040	7AEDEFDFFF
7D75FBF7FF	IZZ	IZZ	Z,[IZ]!	1		v115@LhBtGeDtGeBtzhJeAgH		*p7	99.17%	4998/5040	7B6DFBDFFF
7DE5FFE7FF	SZZ	SZZ	Z,[SZ]!	1		v115@ChR4GeR4GeDtGeDtLeAgH		*p7	85.60%	4314/5040	7BE5FFDBFF
7DF1FFF6FF	ZZO	ZZO	Z,[ZO]!	1		v115@MhBtCeRpBeDtBeRpCeBtMeAgH		*p7	98.73%	4976/5040	7BE9FFDEFF
7EF9EFFDFF	TOO	TOO	O,[TO]!	1		v115@FhRpHeRpFewwAeRpEeywRpJeAgH		*p7	100.00%	5040/5040	NULL
7F79FBFDFF	IOO	IOO	O,[IO]!	1		v115@EhRpwhGeRpwhGeRpwhGeRpwhJeAgH		*p7	100.00%	5040/5040	NULL
7FB9FEFDFE	LOO	LOO	O,[LO]!	1		v115@FhRpHeRpGeglRpEeilRpJeAgH		*p7	100.00%	5040/5040	7FD9FFBDFE
7FB9FEFDFF	LOO	LOO	O,[LO]!	1		v115@NhhlGeRpglRpEeRpglRpJeAgH		*p7	100.00%	5040/5040	7FD9FFBDFF
7FD9FFBDFE	JOO	JOO	O,[JO]!	1		v115@9gRpHeRpHeRpg0GeRpi0OeAgH		*p7	100.00%	5040/5040	7FB9FEFDFE
7FD9FFBDFF	JOO	JOO	O,[JO]!	1		v115@Jhh0FeRpg0RpEeRpg0RpOeAgH		*p7	100.00%	5040/5040	7FB9FEFDFF
7FE9FFEDFF	SOO	SOO	O,[SO]!	1		v115@9gRpHeRpHeRpCeR4CeRpBeR4NeAgH		*p7	99.01%	4990/5040	7FF1FFF9FF
7FF1FFF9FF	ZOO	ZOO	O,[ZO]!	1		v115@FhRpHeRpCeBtCeRpDeBtBeRpJeAgH		*p7	99.01%	4990/5040	7FE9FFEDFF
