ID	Leftover	Build	Cover Dependence	Cover Data	Previous Setup	Setup	Next Setup	Pieces	Solve %	Solve Fraction	Mirror
31F5BBEAFE	Z	ISZO	Z,*p4{ISO=1}	000000000000111111110000011110000000000000111111111111111111111111000000000001111000001111111100		v115@ChBtIeBtBeRpCeR4CeRpBeR4zhJeAgH		[^ISO]!,*p3	93.41%	4708/5040	31EDBBEAFE
31F5BBEAFF	Z	ISZO	Z,*p4{ISO=1}	1		v115@AhR4GeR4IeBtCeRpzhBtBeRpJeAgH		[^ISO]!,*p3	88.49%	4460/5040	31EDBBEAFF
31F5BBF6FF	Z	IZZO	Z,*p4{IZO=1}	111000111111111111111111111111111000111000111000101111111110101001111000001111111100000001111000		v115@DhBtGeRpBtFeRpBtEezhBtJeAgH		[^IZO]!,*p3	98.25%	4952/5040	31EDBBDEFF
31F5BEABFF	Z	LJSZ	Z,*p4{LJS=1}	1		v115@MhQ4DeilBtR4i0glCeBtQ4Beg0JeAgH		[^LJS]!,*p3	90.48%	4560/5040	31EDBEABFF
31F5BEBAFD	Z	LJZO	Z,*p4{LJO=1}	000000000000111111111111111111111111000011111111000000000000000000000000000000000000000000000000		v115@HhglBeRpEeglBtRpBei0hlBtEeg0JeAgH		[^LJO]!,*p3	95.24%	4800/5040	31EDBEAEFD
31F5BEBAFE	Z	LJZO	Z,*p4{LJO=1}	000000000000010100001111010111111111000000000000000000000000000000000000000011111111001111000000		v115@9gg0HeAti0EeBtRpFeAtglRpEeilJeAgH		[^LJO]!,*p3	87.50%	4410/5040	31EDBEAEFE
31F5BEBAFF	Z	LJZO	Z,*p4{LJO=1}	101100101100101011111111101000111100111111111111111111111111101100101100000000111100111111110000		v115@OhRpg0ilBeBtRpg0glEeBth0JeAgH		[^LJO]!,*p3	85.87%	4328/5040	31EDBEAEFF
31F5BEE7FE	Z	LSZZ	Z,*p4{LSZ=1}	000000000000111111111111111111111111000000000011111111000000000000000000000000000000000000000000		v115@9gBtHeglBtQ4FeglBtR4EehlBtQ4OeAgH		[^LSZ]!,*p3	92.70%	4672/5040	31EDBF9BFE
31F5BEE7FF	Z	LSZZ	Z,*p4{LSZ=1}	111000111000111111111111111111111111111000101011111111100011110010000011111111000011110000111000		v115@GhAtEeR4CtDeR4CtglFeAtilJeAgH		[^LSZ]!,*p3	91.43%	4608/5040	31EDBF9BFF
31F5BEEAF8	Z	LSZO	Z,*p4{LSO=1}	000000000000111111111111111111111111000000000011111111000000111100000000000000000000000000000000		v115@HhglBeRpEeglBtRpR4CehlBtR4NeAgH		[^LSO]!,*p3	99.52%	5016/5040	31EDBFAAF8
31F5BEEAF9	Z	LSZO	Z,*p4{LSO=1}	000000000000111111111111111111111111000000101011111111101000111100000000000000000000000000000000		v115@FhRpEeQ4BtRpEeR4BtglFeQ4ilJeAgH		[^LSO]!,*p3	97.38%	4908/5040	31EDBFAAF9
31F5BEEAFA	Z	LSZO	Z,*p4{LSO=1}	000000000000111111111111111111111111000000000011111111000000111100000000000011111111000011110000		v115@GhAtHeBtRpDeR4AtglRpCeR4ilJeAgH		[^LSO]!,*p3	95.95%	4836/5040	31EDBFAAFA
31F5BEEAFB	Z	LSZO	Z,*p4{LSO=1}	000101000101000000000011110000011110000101010100001111010111111111000101010100011110011111111101		v115@GhglFeQ4ilDeBtR4RpEeBtQ4RpJeAgH		[^LSO]!,*p3	95.71%	4824/5040	31EDBFAAFB
31F5BEEAFC	Z	LSZO	Z,*p4{LSO=1}	000000000000000000000000000000000000000000000000000000000000000000000000111111111111111111111111		v115@9gilQ4FeglBtR4EeRpBtQ4EeRpReAgH		[^LSO]!,*p3	93.89%	4732/5040	31EDBFAAFC
