ID	Leftover	Build	Cover Dependence	Cover Data	Previous Setup	Setup	Next Setup	Pieces	Solve %	Solve Fraction	Mirror	Minimals
2185BEABF6	LJSZ	LJSZ	[LJSZ]!,*p3{SZ=1&&!/^[TIZ]{2}/}	1		v115@LhQ4hlCeg0AeBtR4glCei0BtQ4glMeAgH		*p7{3:SZ=1&&!/^[TIZ]{2}/}	100.00%	624/624	2185BEABFA	
2185BEABF7	LJSZ	LJSZ	[LJSZ]!,*p3{2:JS=1||JSZ=1}	1		v115@MhBtCeg0BeilBtR4i0glCeR4KeAgH		*p7{2:JS=1||3:JSZ=1}	100.00%	336/336	2185BEABFB	
2185BEABF8	LJSZ	LJSZ	[LJSZ]!,*p3{2:LO=1||LO[JSZ]=1}	1		v115@Khg0glFeR4g0glBtCeR4h0hlBtLeAgH		*p7{2:LO=1||3:LO[JSZ]=1}	100.00%	528/528	2185BEABFC	
2185BEABF9	LJSZ	LJSZ	[LJSZ]!,*p3{2:TI=1||TI[JZ]=1}	1		v115@HhglBeQ4Eeg0glBtR4Deg0hlBtQ4Ceh0JeAgH		*p7{2:TI=1||3:TI[JZ]=1}	100.00%	432/432	2185BEABFD	
2185BEABFA	LJSZ	LJSZ	[LJSZ]!,*p3{SZ=1&&!/^[TIS]{2}/}	1		v115@Khh0AtGeg0BtR4AeglCeg0AtR4ilJeAgH		*p7{3:SZ=1&&!/^[TIS]{2}/}	100.00%	624/624	2185BEABF6	
2185BEABFB	LJSZ	LJSZ	[LJSZ]!,*p3{2:LZ=1||LSZ=1}	1		v115@KhR4EeBtR4i0BeglAeBtCeg0ilJeAgH		*p7{2:LZ=1||3:LSZ=1}	100.00%	336/336	2185BEABF7	
2185BEABFC	LJSZ	LJSZ	[LJSZ]!,*p3{2:JO=1||JO[LSZ]=1}	1		v115@Mhg0glFeR4g0glBtCeR4h0hlBtJeAgH		*p7{2:JO=1||3:JO[LSZ]=1}	100.00%	528/528	2185BEABF8	
2185BEABFD	LJSZ	LJSZ	[LJSZ]!,*p3{2:TI=1||TI[LS]=1}	1		v115@HhglEeAtBeg0glDeBtR4g0hlCeAtR4h0JeAgH		*p7{2:TI=1||3:TI[LS]=1}	100.00%	432/432	2185BEABF9	
2185BEABFE	LJSZ	LJSZ	[LJSZ]!{!/^[SZ]{2}/}	1		v115@HhglHeg0glBtDeR4g0hlBtBeR4h0JeAgH		*p7	99.68%	5024/5040	NULL	
2185BEABFF	LJSZ	LJSZ	[LJSZ]!	1		v115@NhAtBeg0DeglBtR4g0BeilAtR4h0JeAgH		*p7	93.33%	4704/5040	NULL	
2185FEEBFF	LJSZ	LSZ	[LJSZ]!{2:LZ=1||3:LSZ=1||L<Z},[TIO]!	1		v115@GhAtHeBtFeR4AtglEeR4ilJeAgH	21843956FE:21846967FF:2184795AFF:21853AAAFE	NULL	NULL	NULL	2185FFABFF	
2185FFABFF	LJSZ	JSZ	[LJSZ]!{2:JS=1||3:JSZ=1||J<S},[TIO]!	1		v115@9gQ4IeR4Heg0Q4BtFei0BtEeJeAgH	21843956FF:2184695BFF:21847966FF:21853AAAFF	NULL	NULL	NULL	2185FEEBFF	
